,CaseId,geometry,LATITUDE,LONGITUDE,Priority_Value,DN,days_elapsed,satisfaction_level,no_of_priority_areas,no_of_retail_licenses_vicinity,avg_compliance_percent,days_elapsed_last_inspection,Priority_Value_score,DN_score,days_elapsed_score,satisfaction_level_score,no_of_priority_areas_score,no_of_retail_licenses_vicinity_score,avg_compliance_percent_score,days_elapsed_last_inspection_score,Final_score_Visibility,Final_score_Impact,Total_score,Total_score_classes,OBJECTID,REGION,AMANACODE,AMANAARNAM,AMANAENAME,SHAPE_AREA,SHAPE_LEN,index_right
242,INC-21-09-150951,POINT (585205.8238969116 2363828.920635434),21.3745965,39.8218953,3,178,397,0,0,0,0.0,0,1.0,0.0,0.54,0.33,0.0,0.0,0.0,0.0,0.3,0.5,42.69,High (40%-70%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
243,INC-21-10-071125,POINT (560982.2781856748 2715104.5945311617),24.5486459,39.6021368,3,1784,370,0,0,2,0.0,0,1.0,0.03,0.51,0.33,0.0,0.0,0.0,0.0,0.3,0.5,42.61,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
244,INC-22-01-132172,POINT (520766.9641391729 2381422.4875974716),21.535449226,39.200542755,2,15342,268,0,0,3,0.0,0,0.5,0.38,0.37,0.33,0.0,0.0,0.0,0.0,0.41,0.25,42.53,High (40%-70%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
245,INC-22-01-132190,POINT (520719.10442329966 2381408.3772867755),21.535322294,39.20008041,2,15342,268,0,0,3,0.0,0,0.5,0.38,0.37,0.33,0.0,0.0,0.0,0.0,0.41,0.25,42.53,High (40%-70%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
246,INC-22-10-063929,POINT (519731.9488192857 2376153.2806808227),21.487853391,39.190485813,3,12899,6,0,0,82,0.0,0,1.0,0.32,0.0,0.33,0.0,0.21,0.0,0.0,0.3,0.5,42.45,High (40%-70%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
247,INC-22-08-006622,POINT (692272.6041679367 3428774.132736797),30.976837512,41.013358621,3,10475,77,0,0,63,0.0,12,1.0,0.26,0.08,0.33,0.0,0.16,0.0,0.03,0.29,0.5,42.35,High (40%-70%),4235,منطقة الحدود الشمالية,013,أمانة منطقة الحدود الشمالي,Northern Borders Municipality,10.3906589611,23.3590157691,7
248,INC-21-10-062231,POINT (694916.1632427435 3429873.192508125),30.986314,41.0412366,2,9531,371,0,0,3,0.0,0,0.5,0.24,0.51,0.33,0.0,0.0,0.0,0.0,0.41,0.25,42.33,High (40%-70%),4235,منطقة الحدود الشمالية,013,أمانة منطقة الحدود الشمالي,Northern Borders Municipality,10.3906589611,23.3590157691,7
249,INC-22-10-064679,POINT (552734.989825862 2704123.0636773687),24.4497714,39.5202979,3,448,5,0,1,15,0.0,0,1.0,0.01,0.0,0.33,0.5,0.03,0.0,0.0,0.29,0.5,42.32,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
250,INC-22-09-023992,POINT (692247.016081388 3428797.3899969845),30.977051413,41.013095222,2,10475,43,0,0,56,0.0,120,0.5,0.26,0.03,0.33,0.0,0.15,0.0,0.31,0.41,0.25,42.28,High (40%-70%),4235,منطقة الحدود الشمالية,013,أمانة منطقة الحدود الشمالي,Northern Borders Municipality,10.3906589611,23.3590157691,7
251,INC-21-10-014468,POINT (880408.0210783142 2020411.3532890845),18.239390799,42.596385665,3,684,380,0,0,4,0.0,0,1.0,0.01,0.52,0.33,0.0,0.01,0.0,0.0,0.29,0.5,42.23,High (40%-70%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
252,INC-22-10-064631,POINT (769488.9776476673 2198541.3156192773),19.864472309,41.573381749,3,17850,5,0,0,32,0.0,0,1.0,0.45,0.0,0.33,0.0,0.08,0.0,0.0,0.29,0.5,42.15,High (40%-70%),4243,منطقة الباحة,014,أمانة منطقة الباحة,Al Baha Municipality,0.904916881013,4.98312937311,15
253,INC-22-09-149480,POINT (1277820.3920825506 2755099.437969353),24.7135517,46.6752957,3,19849,26,0,0,8,0.0,0,1.0,0.5,0.02,0.33,0.0,0.02,0.0,0.0,0.29,0.5,42.08,High (40%-70%),4229,منطقة الرياض,004,أمانة منطقة الرياض,Alriyadh Municipality,33.5501795939,30.1679480228,1
254,INC-22-10-048632,POINT (519388.6443969827 2375763.1415112307),21.484332197,39.187167171,3,12899,8,0,0,77,0.0,0,1.0,0.32,0.0,0.33,0.0,0.2,0.0,0.0,0.29,0.5,41.9,High (40%-70%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
255,INC-22-01-134761,POINT (559038.8029477692 2705276.8298226194),24.459964609,39.582538579,3,4016,268,0,0,32,0.0,0,1.0,0.08,0.37,0.33,0.0,0.08,0.0,0.0,0.29,0.5,41.86,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
256,INC-21-10-054310,POINT (754653.0559016222 2220133.0403972566),20.06140324,41.434801361,3,585,373,0,0,6,0.0,0,1.0,0.01,0.51,0.33,0.0,0.01,0.0,0.0,0.29,0.5,41.86,High (40%-70%),4243,منطقة الباحة,014,أمانة منطقة الباحة,Al Baha Municipality,0.904916881013,4.98312937311,15
257,INC-21-11-003714,POINT (561180.6927786844 2715168.1011800645),24.5492116,39.6040986,3,1784,351,0,0,6,0.0,0,1.0,0.03,0.48,0.33,0.0,0.01,0.0,0.0,0.29,0.5,41.69,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
258,INC-22-02-102521,POINT (527820.5614830076 2372905.436234301),21.458401737,39.268516302,3,7443,239,0,0,6,0.0,0,1.0,0.19,0.33,0.33,0.0,0.01,0.0,0.0,0.29,0.5,41.67,High (40%-70%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
259,INC-22-10-038642,POINT (551750.593300882 2703896.080235058),24.447754527,39.510577619,3,579,10,0,1,6,0.0,0,1.0,0.01,0.0,0.33,0.5,0.01,0.0,0.0,0.28,0.5,41.52,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
260,INC-21-10-070897,POINT (870779.346548791 2020295.7234728497),18.2400348,42.505462,3,518,370,0,0,2,0.0,0,1.0,0.01,0.51,0.33,0.0,0.0,0.0,0.0,0.28,0.5,41.42,High (40%-70%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
261,INC-22-08-124467,POINT (585387.8840301319 2368839.915206095),21.419858647,39.823904894,2,11279,58,0,0,100,1.400000000000006,52,0.5,0.28,0.04,0.33,0.0,0.26,0.03,0.14,0.39,0.26,41.38,High (40%-70%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
262,INC-22-08-006622,POINT (692272.6041679367 3428774.132736797),30.976837512,41.013358621,3,10475,77,0,0,63,0.0,3,1.0,0.26,0.08,0.33,0.0,0.16,0.0,0.01,0.28,0.5,41.33,High (40%-70%),4235,منطقة الحدود الشمالية,013,أمانة منطقة الحدود الشمالي,Northern Borders Municipality,10.3906589611,23.3590157691,7
263,INC-21-11-011341,POINT (561471.3839929196 2715123.4830398476),24.54879712,39.606966822,3,1784,349,0,0,0,0.0,0,1.0,0.03,0.48,0.33,0.0,0.0,0.0,0.0,0.28,0.5,41.23,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
264,INC-21-11-021893,POINT (561134.3992010717 2715132.474439543),24.548891681,39.603639977,3,1784,347,0,0,1,0.0,0,1.0,0.03,0.47,0.33,0.0,0.0,0.0,0.0,0.28,0.5,41.13,High (40%-70%),4238,منطقة المدينة المنورة,003,أمانة منطقة المدينة المنور,Madinah Municipality,13.0535223129,23.3638595725,10
265,INC-21-11-083826,POINT (583658.9932800673 2362895.5163479187),21.3662362,39.8069295,3,1962,335,0,0,7,0.0,0,1.0,0.04,0.46,0.33,0.0,0.01,0.0,0.0,0.28,0.5,41.13,High (40%-70%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
266,INC-21-10-070691,POINT (873337.1095236295 2020750.6362742328),18.243694694,42.529693165,3,147,370,0,0,0,0.0,0,1.0,0.0,0.51,0.33,0.0,0.0,0.0,0.0,0.28,0.5,41.06,High (40%-70%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
267,INC-21-10-070698,POINT (873337.398940665 2020750.3595272738),18.243692147,42.529695847,3,147,370,0,0,0,0.0,0,1.0,0.0,0.51,0.33,0.0,0.0,0.0,0.0,0.28,0.5,41.06,High (40%-70%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
268,INC-22-08-045273,POINT (520711.1362482109 2381991.43859048),21.540590355,39.200010679,2,15342,70,-1,0,2,0.0,0,0.5,0.38,0.05,1.0,0.0,0.0,0.0,0.0,0.24,0.58,41.0,High (40%-70%),4244,منطقة مكة المكرمة,005,أمانة محافظة جدة,Jeddah Municipality,3.27079065618,26.645802478,16
269,INC-21-10-078551,POINT (575853.8994918184 2359946.971937669),21.339942444,39.73151846,3,66,368,0,0,0,0.0,0,1.0,0.0,0.5,0.33,0.0,0.0,0.0,0.0,0.28,0.5,40.91,High (40%-70%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
270,INC-21-11-007437,POINT (830659.3313154061 2120072.50662718),19.1470249,42.1431852,3,177,350,0,0,12,0.0,0,1.0,0.0,0.48,0.33,0.0,0.02,0.0,0.0,0.28,0.5,40.89,High (40%-70%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
271,INC-21-10-083516,POINT (575880.4894090093 2360115.2446608325),21.341461595,39.731782414,3,66,367,0,0,0,0.0,0,1.0,0.0,0.5,0.33,0.0,0.0,0.0,0.0,0.28,0.5,40.85,High (40%-70%),4233,منطقة مكة المكرمة,002,أمانة العاصمة المقدسة,Holly Makkah Municipality,1.12215740854,7.62543338561,5
272,INC-21-10-094780,POINT (870446.885232785 2021889.9066684358),18.2544741,42.5026116,3,35,364,0,0,0,0.0,0,1.0,0.0,0.5,0.33,0.0,0.0,0.0,0.0,0.27,0.5,40.66,High (40%-70%),4240,منطقة عسير,007,أمانة منطقة عسير,Asir Municipality,6.91436708641,14.4887078551,12
